Date,Price,Open,High,Low,Vol.,Change %
06-01-2023,533.55,525.88,534.6,521.24,12.51M,1.69%
08-01-2023,641.67,643.02,650.89,640.03,8.92M,-0.10%
09-01-2023,609.32,602.34,613.01,600.05,10.30M,1.70%
11-01-2023,625.77,628.06,631.85,624.37,8.79M,-0.15%
12-01-2023,703.28,705.82,708.81,700.84,10.57M,-0.13%
13-01-2023,410.23,411.73,415.07,406.74,10.45M,-0.18%
16-01-2023,411.73,412.23,413.62,406.35,11.46M,0.36%
17-01-2023,414.02,411.73,418.16,411.23,12.34M,0.56%
18-01-2023,407.14,414.62,414.67,406.2,13.31M,-1.66%
19-01-2023,399.52,405.25,406.55,398.87,13.13M,-1.87%
20-01-2023,401.91,402.76,411.23,399.97,23.91M,0.60%
23-01-2023,407.14,405.75,409.69,403.75,13.11M,1.30%
24-01-2023,420.85,408.74,422.7,408.74,30.20M,3.37%
25-01-2023,417.76,422.45,425.94,416.42,22.98M,-0.73%
27-01-2023,444.23,436.65,452.01,433.81,63.36M,6.34%
30-01-2023,442.29,444.23,448.62,436.3,18.32M,-0.44%
31-01-2023,450.71,442.33,453.4,439.54,25.15M,1.90%
01-02-2023,393.59,391.29,394.78,389.8,10.50M,1.77%
02-02-2023,443.43,445.38,447.82,439.34,11.34M,-0.41%
03-02-2023,419.16,424.69,424.94,418.26,5.66M,-1.30%
05-02-2023,478.77,481.02,482.51,473.09,11.54M,-0.97%
06-02-2023,534.25,535.35,539.59,531.11,12.29M,0.13%
08-02-2023,620.73,642.02,642.32,614.55,15.76M,-3.26%
11-02-2023,634.49,630.06,636.24,628.16,9.93M,1.39%
13-02-2023,439.69,444.13,445.52,437.55,8.33M,-1.08%
14-02-2023,439.2,440.64,442.93,433.06,8.57M,-0.11%
15-02-2023,442.78,437.15,443.53,436.8,9.86M,0.82%
16-02-2023,440.24,443.63,446.87,439.14,7.67M,-0.57%
17-02-2023,438.55,434.66,441.09,434.66,6.96M,-0.39%
20-02-2023,441.64,440.44,443.93,434.91,9.72M,0.70%
21-02-2023,435.16,443.83,443.83,433.91,8.96M,-1.47%
22-02-2023,428.13,433.96,434.51,426.93,7.21M,-1.62%
23-02-2023,431.87,427.33,435.11,425.89,9.28M,0.87%
24-02-2023,426.43,434.06,435.36,425.69,7.90M,-1.26%
27-02-2023,416.66,426.43,426.73,411.78,10.44M,-2.29%
28-02-2023,419.41,417.71,423.49,417.71,9.65M,0.66%
01-03-2023,392.69,394.78,397.13,391.79,9.43M,-0.23%
02-03-2023,444.08,445.63,449.41,440.99,13.07M,0.15%
03-03-2023,426.68,421.3,429.18,420.65,8.03M,1.80%
04-03-2023,422.95,421.7,423.64,418.21,6.95M,0.82%
05-03-2023,482.21,478.77,483.61,476.28,8.53M,0.72%
07-03-2023,588.98,598.15,600.45,588.18,11.13M,-0.80%
08-03-2023,617.05,621.08,624.52,612.26,11.46M,-0.59%
10-03-2023,618.54,630.65,630.7,616.7,6.89M,-1.55%
11-03-2023,645.51,659.96,663.95,644.21,23.09M,1.74%
13-03-2023,421.1,434.76,435.66,417.81,8.78M,-3.09%
14-03-2023,415.37,421.55,422.89,412.13,9.19M,-1.36%
15-03-2023,410.08,420.7,423.69,408.84,7.68M,-1.27%
16-03-2023,414.42,412.03,417.21,403.75,11.85M,1.06%
17-03-2023,417.71,417.71,422.15,413.27,8.66M,0.79%
20-03-2023,409.49,414.32,415.67,404.25,10.08M,-1.97%
